Item Name,Item Code
1 GANG SWTPLT GR,120-11450-000
1 GANG SWTPLT QO,120-23700-000
2 GANG SWTPLT W,120-12350-000
2 GANG SWTPLT EATON,120-17000-000
2 GANG SWTPLT BK,120-12400-000
2 GANG SWTPLT BR,120-12450-000
2 GANG SWTPLT GR,120-12500-000
2 GANG SWTPLT QO,120-23750-000
3 GANG SWTPLT W,120-13050-000
3 GANG SWTPLT EATON,120-17100-000
3 GANG SWTPLT BK,120-13100-000
3 GANG SWTPLT BR,120-13150-000
3 GANG SWTPLT GR,120-13200-000
3 GANG SWTPLT QO,120-23800-000
4 GANG SWTPLT W,120-14400-000
4 GANG SWTPLT EATON,120-17150-000
4 GANG SWTPLT BK,120-14450-000
4 GANG SWTPLT BR,120-14500-000
4 GANG SWTPLT GR,120-14550-000
4 GANG SWTPLT QO,120-23850-000
2-GNG CMBO PLT RECEPTICLE,120-24600-000
2-GNG CMBO PLT DECOR,120-24500-000
3-GNG CMBO PLT RECEPTICLE,120-24750-000
3-GNG CMBO PLT DECOR,120-24650-000
4-GNG CMBO PLT RECEPTICLE,120-24900-000
4-GNG CMBO PLT DECOR,120-24800-000
QUAD PLATE (W),120-12200-000
Stack SWT SP-SP,120-24300-000
Decor SS SP-SP,120-21200-000
Cooper SS SP-SP,120-16750-000
Stack SWT SP-3W,120-24250-000
Decor SS SP-3W,120-21250-000
Cooper SS SP-3W,120-16800-000
20A DBL POLE SWITCH,120-17600-000
1 POLE SWT W,120-22850-000
1 POLE SWT Cooper,120-16750-000
1 POLE SWT BLK,120-22600-000
1 POLE SWT GR,120-22700-000
1 POLE SWT BR,120-22650-000
3 WAY SWT W,120-13450-000
3 WAY SWT Cooper,120-16700-000
3 WAY SWT BLK,120-13350-000
3 WAY SWT BR,120-13400-000
3 WAY SWT GR,--
4 WAY SWT W,120-14800-000
4 WAY SWT Cooper,120-16550-000
4 WAY SWT BLK,115-11550-000
4 WAY SWT BR,--
4 WAY SWT GR,--
ROUND FLOOR LEVELING RING,115-18150-000
Round Floor Recepticle Cover PLASTIC,115-18200-000
Round Floor Recepticle Cover Brass,120-19800-000
Round Floor Recepticle Cover  Nickel,120-19850-000
Floor (POP-IN) 1 Recpt Brass,115-17050-000
Floor (POP-IN) 2 Recpt Brass,120-19450-000
Floor (POP-IN) 1 Recpt Nickel,120-19550-000
Floor (POP-IN) 2 Recpt Nickel,120-19500-000
DED RECEPTICLE P&S,120-25950-000
DED RECEPTICLE Cooper,120-17350-000
DED RECEPTICLE QO,120-23250-000
DED RECEPTICLE COVER P&S,120-22550-000
DED RECEPTICLE COVER Cooper,120-17250-000
DED RECEPTICLE COVER QO,120-23900-000
GFI RECEP,120-25850-000
GFI RECEP  BLK,120-10150-000
GFI RECEP EATON,120-17500-000
GFI RECEP BR,120-10100-000
GFI RECEP QO,120-23500-000
RECEPTACLE,120-25800-000
RECEPTACLE EATON,120-17400-000
RECEPTACLE BLK,120-25650-000
RECEPTACLE BR,120-25700-000
RECEPTACLE GR,120-26250-000
RECEPTACLE QO,120-23300-000
RECEP PLATE W,120-11050-000
RECEP PLATE EATON,120-17250-000
RECEP PLATE BLK,120-10700-000
RECEP PLATE BR,120-11000-000
RECEP PLATE GR,120-10950-000
RECEP PLATE QO,120-23950-000
WEATHERPROOF RECEPT,120-26300-000
WEATHERPROOF GFI RECP,120-26350-000
WEATHERPROOF GFI EATON,120-17550-000
WEATHERPROOF COVER (HDU),120-20200-000
WEATHERPROOF COVER (QO),120-24150-000
1G FIRE RINGS,115-20400-000
2G FIRE RINGS,115-14650-000
3G FIRE RINGS,115-14700-000
4G FIRE RINGS,115-14750-000
FIRE RINGS ROUND,115-14600-000
1 GANG POP-IN BOX,115-10150-000
1 GANG AJUSTABLE BOX,115-13650-000
2 GANG POP-IN BOX,115-10750-000
3 GANG POP-IN BOX,115-24150-000
ROUND BLANK PLATE,120-21700-000
ROUND POP-IN BOX,115-22300-000
6'' EYEBALL TRIM,135-10750-000
6'' RECESS LED BULB,135-11200-000
6'' RECESS CAN TRIM,135-10700-000
4'' EYEBALL TRIM AND BULB,135-14050-000
4'' RECESS CAN TRIM,135-10000-000
45 WATT RECESS BULB,135-10125-000
4'' Shower Trim Regular,105-10750-000
6'' Shower Trim Regular,135-11700-000
4'' Shower Trim Adjustable,135-13650-000
6'' Shower Trim Adjustable,135-11750-000
LED Retrofit Trim Maxim,135-12450-000
LED Retrofit Trim Megaman,135-11400-000
FLOOD LIGHT BOX,115-15750-000
FLOOD LIGHT COVER,135-13950-000
FLOOD LIGHT ARM,135-14000-000
FLOOD LIGHT BULB,135-14450-000
KEYLESS,135-14150-000
PULL-CHAIN,135-14200-000
60 WATT BULB,135-11150-000
SMOKE DETECTOR,150-10150-000
CARBON/SMOKE DETECTOR,150-10250-000
DOOR BELL KIT,120-18600-000
"Carlon Roll 1/2""",155-11750-000
"Carlon Roll 3/4""",155-11800-000
"Carlon Strts 1/2""",125-22250-000
"Carlon Strts 3/4""",125-22500-000
"Carlon 90 - 1/2""",125-22550-000
"Carlon 90 - 3/4""",125-16700-000
ON-Q-PANEL (SM),105-33750-000
ON-Q-PANEL(LG),115-16450-000
FAN NAIL ON BOX,115-22400-000
ON-Q-PANEL COVER SMALL,Billing?
ON-Q-PANEL COVER LARGE,Billing?
SMURF PIPE,155-11550-000
3/4 ALUM PIPE,155-10100-000
SNAP & SEAL CONNECTOR,120-15650-000
LED TAPE LIGHT,125-15600-000
LED TAPE LIGHT PIG TAILS,130-13150-000
LED TAPE LIGHT TRANSFORMER,130-12950-000
"RIGID MALE ADAPTER 3/4""",125-21400-000
"PVC MALE ADAPTER 1/2""",125-18750-000
"PVC MALE ADAPTER 3/4""",125-18350-000
"PVC MALE ADAPTER 1""",125-18150-000
"PVC MALE ADAPTER 1 1/4""",125-18250-000
"PVC MALE ADAPTER 1 1/2""",125-18200-000
"PVC MALE ADAPTER 2""",125-18900-000
2'' OFF SET MALE ADAPTER,125-20900-000
"INSULATING BUSHING 1/2""",125-12750-000
"INSULATING BUSHING 3/4""",125-13050-000
"INSULATING BUSHING 1""",125-12700-000
"INSULATING BUSHING 1 1/4""",125-12850-000
"INSULATING BUSHING 1 1/2""",125-12800-000
"INSULATING BUSHING 2""",125-12900-000
"LOCK NUT 1/2""",125-15850-000
"LOCK NUT 3/4""",125-16150-000
"LOCK NUT 1""",125-15800-000
"LOCK NUT 1 1/4""",125-15950-000
"LOCK NUT 1 1/2""",125-15900-000
"LOCK NUT 2""",125-16000-000
"PVC HUB 1""",125-18150-000
"PVC HUB 1 1/4""",125-12500-000
"PVC HUB 1 1/2""",125-12550-000
"PVC HUB 2""",125-18300-000
COMPRESSION COUP 3/4,125-21400-000
"COUPLING PVC 1/2""",125-19250-000
"COUPLING PVC 3/4""",125-19550-000
"COUPLING PVC 1""",125-19200-000
"COUPLING PVC 1 1/4""",125-19350-000
"COUPLING PVC 1 1/2""",125-19300-000
"COUPLING PVC 2""",125-19400-000
"COUPLING RIGID 1/2""",--
"COUPLING RIGID 3/4""",125-21700-000
"COUPLING RIGID 1""",--
"COUPLING RIGID `1 1/4""",--
"COUPLING RIGID 1 1/2""",--
"COUPLING RIGID 2""",--
"45'S PVC 1/2""",125-17300-000
"45'S PVC 3/4""",125-17600-000
"45'S PVC 1""",125-17250-000
"45'S PVC 1 1/4""",125-17400-000
"45'S PVC 1 1/2""",125-17350-000
"45'S PVC 2""",125-17450-000
"45'S RIGID 1/2""",--
"45'S RIGID 3/4""",--
"45'S RIGID 1""",--
"45'S RIGID 1 1/4""",--
"45'S RIGID 1 1/2""",--
"45'S RIGID 2""",--
"90'S PVC 1/2""",125-17750-000
"90'S PVC 3/4""",125-18050-000
"90'S PVC 1""",125-17700-000
"90'S PVC 1 1/4""",125-17850-000
"90'S PVC 1 1/2""",125-17800-000
"90'S PVC 2""",125-17900-000
"90'S RIGID 1/2""",--
"90'S RIGID 3/4""",125-21300-000
"90'S RIGID 1""",--
"90'S RIGID 1 1/4""",--
"90'S RIGID 1 1/2""",--
"90'S RIGID 2""",--
"PVC L-B 1/2""",125-20450-000
"PVC L-B 3/4""",125-20750-000
"PVC L-B 1""",125-20400-000
"PVC L-B 1 1/4""",125-20550-000
"PVC L-B 1 1/2""",125-20500-000
"PVC L-B 2""",125-20600-000
"CONDUIT PVC 1/2""",155-10750-000
"CONDUIT PVC 3/4""",155-11050-000
"CONDUIT PVC 1""",155-10700-000
"CONDUIT PVC 1 1/4""",155-10850-000
"CONDUIT PVC 1 1/2""",155-10800-000
"CONDUIT PVC 2""",155-10900-000
"CONDUIT RIGID 1/2""",--
"CONDUIT RIGID 3/4""",155-11700-000
"CONDUIT RIGID 1""",--
"CONDUIT RIGID 1 1/4""",--
"CONDUIT RIGID 1 1/2""",--
"CONDUIT RIGID 2""",--
"ROMEX CONNECTOR 1/2""",125-17050-000
"ROMEX CONNECTOR 3/4""",125-17100-000
"ROMEX CONNECTOR 1""",125-13200-000
"ROMEX CONNECTOR 1 1/4""",125-13300-000
"ROMEX CONNECTOR 1 1/2""",125-13400-000
"ROMEX CONNECTOR 2""",125-13500-000
P-25 (TINY HOLE) Quickflash,115-24100-000
P-50 (SMALL HOLE) Quickflash,115-24050-000
P-150 (LARGE HOLE) Quickflash,115-20350-000
E-PC4/0 Quickflash,115-16575-000
E-SGB-C 5/8 Quickflash,115-15950-000
"ONE HOLE STRAP 1/2""",900-11550-000
